ROW,MOV_ID,TITLE,Budget,Reception,Recency,Length,Genre,Tempo,Fanfare
759,936,Next Friday,-0.0696,-1.0805,-0.4878,0.7335,-1.502,0.0482,0.1557
760,938,Life Is Beautiful,-0.1456,-0.2073,-0.0428,-0.4642,0.077,1.1593,-0.366
761,939,13 Going on 30,0.4072,-0.5786,0.2885,0.1981,-0.8915,-0.6656,1.8288
762,942,12 Monkeys,0.1957,0.5853,-1.0289,-0.5879,1.6878,-1.1611,1.1265
763,944,Beaches,-0.303,0.2759,-1.9064,0.1567,-0.3786,0.9057,-1.4524
764,946,Shanghai Noon,0.2896,0.0882,0.2445,-0.6873,-0.6683,1.6817,0.1408
765,947,The Time Machine,0.8368,-1.1069,0.1307,-0.0231,0.7426,-2.2123,1.9998
766,948,Midnight in Paris,-0.1605,1.3596,0.1957,-0.9383,-3.0726,-3.0168,-0.5538
767,949,American Reunion,0.636,-0.7715,0.9937,-0.84,-0.1768,1.2156,0.2015
768,950,Saw V,0.3205,-3.2583,-0.4373,0.9358,-0.9371,0.9328,-0.415
769,952,A Civil Action,0.1648,0.1507,-0.0057,-0.5141,0.6544,0.7638,0.5191
770,953,Guess Whos Coming to Dinner,-0.5151,0.7175,-2.6455,0.7865,0.6211,2.695,0.3378
771,954,Clueless,-0.1338,-0.059,-0.7942,1.1212,-0.9603,0.0262,0.8124
772,955,Rat Race,0.4494,-0.3839,0.0944,-0.5431,-0.2392,1.4516,0.2138
773,956,The Queen,-0.4457,1.6522,0.9455,0.4577,-2.5416,-0.5212,0.5166
774,957,Drumline,-0.1826,0.0552,0.3032,-0.5569,-0.4956,1.6612,0.3726
775,958,White Noise,0.2864,-1.6659,0.343,-1.1431,-0.0787,1.3322,-0.4816
776,959,Edward Scissorhands,0.096,1.2077,-1.3354,-0.6063,-0.2033,-0.055,-0.562
777,960,Once Upon a Time in Mexico,0.5464,-0.2013,-0.2469,-0.521,-1.1482,-2.4453,1.3777
778,961,The Big Chill,-0.4581,0.4729,-1.8493,0.2782,-0.623,0.6329,-0.6606
779,962,Just Married,0.4398,-1.4061,-0.2459,0.2171,-2.1473,-0.2425,0.008
780,963,Primal Fear,-0.0015,-0.1896,-0.7797,-0.2661,0.3329,0.7308,0.2091
781,965,Be Cool,0.7109,-1.1132,0.3441,-1.6867,0.1541,-0.0996,0.1402
782,966,Romeo Must Die,0.3283,-1.0879,-0.4304,-1.1388,0.8118,0.0569,0.5321
783,967,Friends with Benefits,0.3682,-0.1518,0.978,-0.8433,-0.2769,1.0747,0.7595
784,969,Legend of the Guardians: The Owls of GaHoole,0.7086,-0.9271,0.3032,0.7113,-1.0497,-0.2633,0.5597
785,970,Snake Eyes,0.4604,-0.5182,-0.82,0.1836,-0.5371,-2.1409,0.5497
786,971,Never Been Kissed,0.2476,-0.3917,-0.5172,-0.8043,-0.5649,1.1197,-0.3969
787,972,Alien 3,0.3625,0.6991,-1.5434,0.0564,1.5784,-0.2627,0.3565
788,973,Never Say Never Again,0.0173,0.3366,-2.0618,0.4354,1.7326,0.3094,0.8318
789,976,Ghosts of Girlfriends Past,0.4566,-0.9229,0.0782,-1.4857,0.0011,0.024,-0.1806
790,977,Tyler Perrys Why Did I Get Married?,0.0611,0.1232,-0.7605,-0.4111,-0.2557,0.2421,-0.8111
791,978,Saw,0.0439,-0.941,0.0274,-1.0121,-0.133,1.3196,-0.0544
792,979,I Am Number Four,0.8404,-1.4219,0.2333,-1.6735,1.599,-1.2356,0.5503
793,981,The Guardian,0.4686,-0.2895,-0.0703,-1.0681,-0.0684,-0.4524,0.5091
794,982,The Jackal,0.3903,-0.8238,-0.7666,-0.8135,1.0286,-0.5624,-0.0617
795,984,Doc Hollywood,-0.3149,0.1268,-1.5225,-0.0504,0.4259,1.2186,-0.5733
796,985,Starship Troopers,0.9172,-0.8047,-0.9955,-0.629,2.0152,-1.3716,0.3502
797,987,This Means War,0.8431,-1.7285,0.5899,0.0485,-0.3941,-1.5852,0.8482
798,988,Project X,0.3048,-1.584,0.4873,0.7498,-0.9535,0.5531,0.8321
799,989,Source Code,0.4646,-0.0511,0.8841,0.0623,0.9378,-1.8431,3.5319
800,990,The Omen,0.2459,-1.0925,0.2202,-1.0337,-0.1767,1.1125,-0.2066
801,991,Crash,-0.1859,0.4404,0.6861,-0.9322,-0.3821,1.5941,0.7687
802,992,The Woman in Black,0.3849,-0.7382,0.9164,0.255,-0.1924,-0.7748,2.239
803,993,The Count of Monte Cristo,0.1554,0.2052,0.3219,-0.7819,-0.1894,0.4656,0.6725
804,994,The Abyss,0.6512,0.7306,-1.7689,-0.0184,1.5164,-1.4212,0.9233
805,995,TMNT,0.2336,-1.8515,-0.0754,0.7879,-0.8427,0.493,0.6052
806,996,Final Destination 3,0.2908,-1.3361,0.0982,-0.9498,-0.291,1.1487,-0.216
807,997,Insidious,-0.0429,-1.1394,0.4758,0.4275,-1.3278,0.0536,1.1494
808,999,Austin Powers: International Man of Mystery,0.2675,0.17,-0.8101,-0.5416,-0.3593,1.1254,-0.2606
809,1001,Paycheck,0.7344,-0.512,0.0947,-1.4377,1.5293,-1.4795,1.1141
810,1003,Hero,0.1859,0.8851,0.4166,0.1397,-0.6814,-1.5777,2.2582
811,1004,P.S. I Love You,0.005,-0.5271,0.1605,-0.5724,-0.0336,0.6855,-0.0745
812,1006,3:10 to Yuma,0.3015,0.7382,0.8828,-1.1568,-0.9964,0.7784,0.5947
813,1007,Robocop,0.0389,-0.1916,-1.9726,-0.6863,2.1098,-0.5447,0.8389
814,1008,Life as We Know It,0.3742,-1.4186,0.7113,-0.9881,-0.2363,1.4455,0.1003
815,1009,Tim Burtons Corpse Bride,0.4507,0.1875,-0.9501,0.7582,-1.3156,-0.7608,0.1166
816,1010,Tyler Perrys Madeas Big Happy Family,0.2182,-0.2979,-0.2236,-1.0149,-0.5176,0.1141,-0.9981
817,1011,Final Destination,0.0802,-1.6148,-0.2202,0.4308,-1.3528,0.0734,0.5519
818,1012,Sleepers,0.1522,0.2339,-1.1914,-0.7281,-0.4632,-0.9356,-0.5705
819,1014,The Devil Inside,0.1588,-2.8094,-0.043,0.7267,-1.0149,0.631,-0.2084
820,1015,The Prestige,0.8516,0.9759,0.3451,-0.4395,-0.6341,0.2104,0.6688
821,1016,Letters to Juliet,0.2053,-0.5126,0.6506,-1.2955,-0.3489,0.8389,0.3181
822,1018,Sweeney Todd: The Demon Barber of Fleet Street,0.3933,1.3942,0.5113,-1.0753,-0.9574,-0.3415,-0.2597
823,1019,Varsity Blues,-0.0892,-0.7071,-0.6822,-0.8993,-0.8138,1.3639,-0.871
824,1024,The Recruit,0.3626,-0.2753,0.0584,-1.5512,0.6941,-0.453,0.8086
825,1026,Four Weddings and a Funeral,-0.2074,1.2951,-0.9378,-0.2084,-0.2991,0.7725,-0.0522
826,1027,Diary of a Wimpy Kid: Rodrick Rules,0.2166,-0.687,0.4979,0.552,-1.2894,0.0422,1.4316
827,1030,Wall Street: Money Never Sleeps,0.6312,0.3617,0.5938,-1.8214,-1.8733,-0.643,-0.5794
828,1032,The Royal Tenenbaums,-0.3062,1.2963,0.3869,-0.8932,-0.122,0.5037,0.6978
829,1036,Identity,0.3489,-0.0712,0.1521,-0.0909,-0.5518,-1.3617,2.0573
830,1037,Awakenings,-0.3143,0.6626,-0.8374,0.0556,0.0515,1.6357,0.2552
831,1038,The Forbidden Kingdom,0.6944,-0.2672,-0.161,-0.7909,0.9156,-0.1736,0.8004
832,1039,"South Park - Bigger, Longer and Uncut",-0.1467,0.3083,0.0844,0.6843,-0.7157,0.2645,1.8671
833,1040,Predators,0.4848,-0.8043,0.5685,-1.1498,1.0958,0.0516,0.8458
834,1041,Underworld,0.5387,-0.7897,-0.0072,-1.1772,0.7185,0.0192,0.9579
835,1042,King Arthur,0.8225,-0.4503,0.5076,-1.0002,-0.1367,-0.2191,-0.4142
836,1043,Funny People,0.649,0.2588,0.7587,-0.3713,-0.1583,0.7404,0.7877
837,1045,Footloose,0.2207,-0.2977,0.9607,-1.241,-0.3737,1.0776,1.1119
838,1046,Ghost Rider: Spirit of Vengeance,0.5102,-2.3565,-0.1335,0.5479,0.2268,-1.1113,0.5115
839,1047,Exit Wounds,0.373,-1.506,-0.9427,-0.8343,1.3591,0.1447,-0.2034
840,1048,Tyler Perrys I Can Do Bad All By Myself,0.0631,0.1379,-0.5636,-0.4148,-0.7222,0.7038,-1.0638
841,1049,Finding Neverland,-0.2973,0.7371,0.745,-0.8773,-1.0764,1.3127,-0.5439
842,1050,The Grey,0.3582,-0.3571,0.624,-1.0129,0.5271,0.4533,1.3439
843,1052,My Bloody Valentine 3-D,-0.0072,-0.7399,-0.3869,-0.1171,0.6502,1.6544,-0.0745
844,1054,Like Mike,0.0257,-1.0014,0.0134,-1.1722,-0.3216,1.1423,-0.4402
845,1055,Enemy at the Gates,0.118,0.0741,0.4968,-0.6248,-0.5012,0.943,0.0192
846,1056,The Phantom of the Opera,0.1192,-0.2141,0.1017,-1.2787,-1.2762,-1.2262,-1.9672
847,1058,Broadcast News,-0.2944,1.2337,-1.1427,0.4231,0.3736,1.0844,0.432
848,1061,The Naked Gun 33 1/3: The Final Insult,0.0685,-0.2234,-1.4629,1.31,-0.88,0.2798,0.4039
849,1065,Atonement,-0.2763,1.5212,1.2652,-0.3591,-0.7855,1.4259,0.5858
850,1067,The Tale of Despereaux,0.2541,-0.4175,0.4818,0.7736,-0.6333,0.019,1.4622
851,1068,Apocalypto,0.5688,0.3598,0.6714,-0.6272,-0.3956,0.589,1.0211
852,1069,The Road to El Dorado,0.8265,-0.0558,0.1991,0.8985,-1.0757,-0.3111,1.23
853,1075,Music and Lyrics,0.2309,-0.4423,0.7781,0.6948,-1.1134,0.369,1.7099
854,1078,K-PAX,0.0076,-0.2715,0.4151,-0.7957,-0.4219,0.962,-0.2636
855,1079,Serendipity,0.0918,-0.6202,0.1422,0.181,-1.568,-0.1688,0.9556
856,1080,Hot Tub Time Machine,0.1777,-0.1664,0.8699,-1.0313,0.0073,1.2785,0.7831
857,1081,Natural Born Killers,-0.015,0.8354,-1.3191,-0.5469,-0.2276,-1.7211,0.3812
858,1084,Little Women,-0.5853,1.2822,-0.3863,0.0504,-0.4305,2.0899,0.6263
859,1085,Absolute Power,0.3126,0.8291,-1.4137,-1.9526,-0.4658,-2.5919,-0.4786
860,1086,Evita,-0.1443,-0.2406,-0.3972,-0.0212,0.3776,1.0053,-0.352
861,1091,Last Action Hero,0.5528,-0.7121,-1.2538,-0.5542,0.8302,-0.6933,-0.6154
862,1092,Tim Burtons The Nightmare Before Christmas,-0.2814,0.0586,-1.1927,1.3877,-0.1527,0.3854,0.924
863,1093,Red Tails,0.4632,-1.0346,0.6193,-0.8795,1.3009,0.0534,0.9469
864,1094,Legal Eagles,-0.1265,0.5828,-2.0067,0.1475,0.02,0.837,-0.8766
865,1095,Popeye,-0.465,0.3548,-2.0297,-0.0465,0.4044,0.7675,-0.7478
866,1096,Racing Stripes,0.2842,-1.4667,0.0623,0.4461,-0.2591,-0.1769,1.3702
867,1097,Are We Done Yet?,0.225,-1.6567,-0.2742,0.6014,-1.4576,-0.0125,-0.0335
868,1099,Australia,0.7654,-0.2293,0.9682,-0.2666,0.1192,-0.2741,0.1008
869,1100,Old Dogs,0.4188,-2.8226,0.0326,0.4369,-1.4887,0.4329,-0.372
870,1102,Land of the Lost,0.7505,-1.5825,0.322,0.1154,-0.1058,-1.597,0.8549
871,1103,A Nightmare on Elm Street 4: The Dream Master,-0.1877,-0.278,-2.0999,1.047,-1.2073,-0.7056,-0.284
872,1105,The Possession,-0.155,-0.4001,-0.0274,1.0848,-0.5063,0.1395,1.4917
873,1107,Bugsy,-0.2841,0.5577,-1.8758,-0.273,0.175,-0.774,-0.8648
874,1108,Michael Clayton,0.2152,0.9668,0.8433,-0.8509,1.1471,0.0381,2.3895
875,1109,Diary of a Wimpy Kid: Dog Days,0.0163,-0.5386,-0.0521,1.1576,-0.7394,0.242,1.3198
876,1111,Men of Honor,-0.0726,-0.0497,0.2896,-0.5341,-1.155,1.7293,-0.0732
877,1112,Firewall,0.2814,-0.914,0.3468,-1.4267,0.9425,0.1275,0.8168
878,1113,Speed 2: Cruise Control,1.2109,-1.0588,-0.4941,-0.4277,1.4949,-0.673,-0.7635
879,1114,Date Movie,0.1483,-3.1156,-0.4804,0.2288,-1.5366,0.3902,-0.8621
880,1116,The Dilemma,0.6856,-0.1142,0.2664,-1.5231,-1.2471,-0.6142,-0.9631
881,1117,Peter Pan,0.6626,-0.2629,0.4434,-0.7555,0.8714,0.1659,0.3907
882,1119,Big Fat Liar,0.2152,-1.2179,-0.4624,0.2778,-1.9151,-0.1579,0.0569
883,1120,The Game,0.3108,0.5629,-0.7298,-0.6237,0.7561,-0.4713,0.9679
884,1121,Just Like Heaven,0.4687,-0.8888,0.1978,0.0782,-1.8257,-0.578,0.5783
885,1122,The House Bunny,-0.0013,-1.631,0.1627,0.6876,-1.0565,0.519,0.833
886,1125,Malcolm X,-0.4506,1.1327,-1.2564,0.3933,-1.6329,0.2767,-0.6391
887,1126,G.I. Jane,0.1646,0.8237,-1.1858,-1.1811,-0.3075,-1.331,-0.2754
888,1128,Kick-Ass,0.4763,0.2559,0.7258,-1.1856,0.7317,-0.1077,1.8378
889,1129,Secret Window,0.3922,-0.5161,0.3319,-1.3328,0.9157,0.0668,1.1806
890,1131,Agent Cody Banks,0.3459,-1.1938,-0.381,-0.987,0.458,0.6072,0.3361
891,1132,The Skeleton Key,0.2371,-0.5515,0.3754,-1.129,-0.0535,0.9101,0.2439
892,1134,When a Stranger Calls,0.3783,-1.4915,-0.4962,-1.219,0.5953,0.1961,-0.105
893,1136,Alien Resurrection,0.3698,0.2096,-0.455,-0.6371,1.58,-0.2359,0.7917
894,1137,Look Whos Talking Too,-0.2797,-0.1678,-1.5221,1.5192,-0.6301,0.1881,0.4959
895,1138,The Rundown,0.773,-0.3455,0.0676,-1.256,0.8248,-0.3284,0.5262
896,1139,Dan in Real Life,-0.0929,0.0476,0.8614,0.5682,-0.9613,0.0256,1.922
897,1142,The Kingdom,0.6716,-0.502,0.3645,-1.3188,0.6478,-0.4096,0.4771
